Report for Aug
Total Visits: 1552507
Total Pages: 13419
Total Domains: 74713
IP Address Statistics:
in24.inetnebr.com: 55 requests
uplherc.upl.com: 120 requests
ix-esc-ca2-07.ix.netcom.com: 16 requests
slppp6.intermind.net: 7 requests
piweba4y.prodigy.com: 4797 requests
133.43.96.45: 43 requests
kgtyk4.kj.yamagata-u.ac.jp: 6 requests
d0ucr6.fnal.gov: 2 requests
www-c8.proxy.aol.com: 984 requests
www-c3.proxy.aol.com: 3241 requests
133.68.18.180: 17 requests
ip-pdx6-54.teleport.com: 6 requests
www-d3.proxy.aol.com: 3273 requests
haraway.ucet.ufl.edu: 70 requests
www-d4.proxy.aol.com: 3198 requests
endeavor.fujitsu.co.jp: 279 requests
205.163.36.61: 7 requests
rpgopher.aist.go.jp: 84 requests
139.230.35.135: 17 requests
piweba1y.prodigy.com: 2927 requests
165.213.131.21: 28 requests
www-c6.proxy.aol.com: 3061 requests
gw1.att.com: 1447 requests
ai.asu.edu: 16 requests
async59.ts-p-caps.caps.maine.edu: 10 requests
pm9.j51.com: 28 requests
piweba3y.prodigy.com: 4354 requests
ppp8.montrealnet.ca: 8 requests
134.50.205.24: 1 requests
slip4086.sirius.com: 9 requests
village.islandnet.com: 1 requests
204.248.155.42: 8 requests
js002.cc.utsunomiya-u.ac.jp: 9 requests
van10271.direct.ca: 38 requests
134.h-pm2.vgs3.westel.com: 19 requests
ix-dfw12-08.ix.netcom.com: 25 requests
sutnbgw1.ed.noda.sut.ac.jp: 1 requests
van15422.direct.ca: 5 requests
ad06-061.compuserve.com: 5 requests
ad11-061.compuserve.com: 13 requests
slip-4-12.ots.utexas.edu: 5 requests
www-b5.proxy.aol.com: 3381 requests
dd09-012.compuserve.com: 53 requests
rainbow.mts.chiba-u.ac.jp: 14 requests
143.158.26.50: 29 requests
delorme.richard.i4e000.ic.gc.ca: 4 requests
ykline6.internorth.com: 14 requests
ns2.sharp.co.jp: 87 requests
pipe1.nyc.pipeline.com: 67 requests
38.10.180.30: 1 requests
128.159.129.170: 231 requests
194.157.109.130: 3 requests
rdr4.ccinet.ab.ca: 8 requests
131.235.117.31: 5 requests
ad10-015.compuserve.com: 17 requests
dialip129.gov.bc.ca: 21 requests
palpk-s13.intac.com: 18 requests
scctn02.sp.ac.sg: 41 requests
www-b3.proxy.aol.com: 3431 requests
ppp3_069.bekkoame.or.jp: 12 requests
blv-pm11-ip17.halcyon.com: 16 requests
van15423.direct.ca: 9 requests
cs1-08.leh.ptd.net: 36 requests
ip-pdx8-55.teleport.com: 9 requests
www-d1.proxy.aol.com: 3862 requests
tsip52.ionet.net: 4 requests
sunset.somcau.siu.edu: 5 requests
pm6a3.sover.net: 11 requests
pwestec.sierra.net: 8 requests
ras15.srv.net: 20 requests
133.43.106.47: 6 requests
cherry.hip.berkeley.edu: 17 requests
dd12-062.compuserve.com: 16 requests
ix-sea6-23.ix.netcom.com: 9 requests
csclass.utdallas.edu: 13 requests
ix-min1-02.ix.netcom.com: 78 requests
grail911.nando.net: 8 requests
slip9-162.beta.delphi.com: 3 requests
tia1.eskimo.com: 732 requests
slippc6.cs.nps.navy.mil: 1 requests
remote.redzone.com: 12 requests
line10.pm1.abb.mindlink.net: 11 requests
www-c1.proxy.aol.com: 3158 requests
198.248.59.123: 9 requests
adam.tower.com.au: 59 requests
dynamic-ara3.csuchico.edu: 1 requests
thunderbox.ho.bom.gov.au: 8 requests
pme609.onramp.awinc.com: 22 requests
hun8.ramlink.net: 5 requests
ix-cha-nc1-02.ix.netcom.com: 13 requests
prakinf2.prakinf.tu-ilmenau.de: 115 requests
itws.info.eng.niigata-u.ac.jp: 36 requests
dialup-2-139.gw.umn.edu: 29 requests
192.127.139.163: 9 requests
lutzp.tigernet.net: 43 requests
futurcom.nai.net: 8 requests
general2.asu.edu: 10 requests
205.199.120.118: 10 requests
bdmgate.bdm.com: 450 requests
grimnet23.idirect.com: 9 requests
marimo.kushiro-ct.ac.jp: 41 requests
stockyard17.onramp.net: 35 requests
ix-sf8-22.ix.netcom.com: 1 requests
chuken02.shinshu-u.ac.jp: 59 requests
198.161.85.36: 1 requests
hayes.worldgate.com: 39 requests
ix-tf5-17.ix.netcom.com: 9 requests
dialup515.washington.mci.net: 7 requests
dd01-045.compuserve.com: 3 requests
168.78.14.166: 24 requests
199.190.95.40: 12 requests
ppp-06-uf-cs1.nerdc.ufl.edu: 9 requests
port42.ts2.msstate.edu: 4 requests
dialup005.continet.com: 8 requests
bonnou.lab.kdd.co.jp: 37 requests
ts2-002.jaxnet.com: 34 requests
ix-aus4-15.ix.netcom.com: 13 requests
k12.oit.umass.edu: 17 requests
dial3-15.midwest.net: 9 requests
www-b2.proxy.aol.com: 3516 requests
rs31-annex3.sfu.ca: 6 requests
fat.coara.or.jp: 8 requests
199.2.139.127: 9 requests
physpc9.csu.murdoch.edu.au: 10 requests
gatekeeper.us.oracle.com: 1006 requests
www-a2.proxy.aol.com: 3325 requests
ix-dc7-17.ix.netcom.com: 10 requests
www-a1.proxy.aol.com: 3013 requests
stockyard21.onramp.net: 6 requests
celebrian.otago.ac.nz: 156 requests
net167.metronet.com: 1 requests
kingston-ts-16.nstn.ca: 18 requests
rd-p19.supernet.ab.ca: 8 requests
199.2.139.104: 7 requests
roy.u-gakugei.ac.jp: 15 requests
reggae.iinet.net.au: 260 requests
ncg-69.axionet.com: 17 requests
mallard2.duc.auburn.edu: 53 requests
gregver.cais.com: 18 requests
kay-abernathy.tenet.edu: 43 requests
sakura.crl.go.jp: 21 requests
freenet2.scri.fsu.edu: 16 requests
205.160.164.19: 8 requests
wtaskr1.ccinet.ab.ca: 31 requests
gikai.eng.nhk.or.jp: 334 requests
205.161.163.25: 57 requests
netcom21.netcom.com: 101 requests
ad14-040.compuserve.com: 18 requests
mccaughey-thoma.eigenmann.indiana.edu: 8 requests
miriworld.its.unimelb.edu.au: 539 requests
128.135.36.35: 12 requests
picard.cistron.nl: 63 requests
line114.nwm.mindlink.net: 9 requests
novalord.nova.co.jp: 18 requests
ras38.srv.net: 19 requests
kenko2.hyogo-ths.hyogo.kobe.jp: 30 requests
jericho2.microsoft.com: 781 requests
kentnet.dtcc.edu: 2 requests
ann06.bcit.bc.ca: 4 requests
wailua.keck.hawaii.edu: 11 requests
slip27.cei.net: 9 requests
ix-esc-ca1-27.ix.netcom.com: 5 requests
ts6-11.westwood.ts.ucla.edu: 21 requests
server.elysian.net: 7 requests
info.telenor.no: 77 requests
kctm.kagoshima-ct.ac.jp: 38 requests
wwwproxy.info.au: 214 requests
dd15-053.compuserve.com: 20 requests
eris139.mayo.edu: 1 requests
linuser19.li.net: 26 requests
koala.melbpc.org.au: 158 requests
interchg.ubc.ca: 41 requests
linda.teleport.com: 20 requests
extra.ucc.su.oz.au: 252 requests
ppp28.modems.uoknor.edu: 16 requests
wyndmoor1-7.slip.netaxs.com: 20 requests
133.102.242.50: 8 requests
ix-dgr-il1-15.ix.netcom.com: 16 requests
ix-aa1-04.ix.netcom.com: 2 requests
alyssa.prodigy.com: 182 requests
dd08-043.compuserve.com: 23 requests
fp590.acs.ohio-state.edu: 16 requests
centauri.tksc.nasda.go.jp: 13 requests
dd14-077.compuserve.com: 1 requests
www-c4.proxy.aol.com: 3094 requests
204.251.93.247: 6 requests
drjo011a043.embratel.net.br: 2 requests
